"","Accession","Description","PSM","GeneID","SED_1","SED_2","SED_3","SED_4","SED_5","SED_6","SED_7","SED_8","EX_1","EX2","EX_3","EX_4","EX_5","EX_6","EX_7","EX_8"
"1136","Q9UL25","Ras-related protein Rab-21 OS=Homo sapiens OX=9606 GN=RAB21 PE=1 SV=3",12,"RAB21",88.9,164.5,121.3,162.6,171.6,196.1,93.7,164.7,119.7,91.2,64.8,94.3,95.6,82.9,130.6,81.5
"1137","Q15008","26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1",12,"PSMD6",129.9,169.4,154.1,232.5,252.7,238.9,118.3,231.8,152.6,102.5,73.5,122.7,121.6,140.3,150.6,93.5
"1138","P15374","Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1",12,"UCHL3",80,108.1,103.9,166.1,154.2,259.3,86.1,176.2,87.9,73.6,44.3,78.7,90.7,75.3,96.4,59.6
"1139","Q9UMS6","Synaptopodin-2 OS=Homo sapiens OX=9606 GN=SYNPO2 PE=1 SV=2",12,"SYNPO2",123,103.1,99.3,136,74.7,86.9,72.5,48.2,73.1,52.9,56.7,194.9,43.3,77.2,133.9,65.4
"1140","Q6IQ22","Ras-related protein Rab-12 OS=Homo sapiens OX=9606 GN=RAB12 PE=1 SV=3",7,"RAB12",18.3,26.2,20.5,28.3,36,30.5,17.4,15.3,26.6,6.5,13.2,18.4,18.1,17.6,20,17.3
"1141","P36776","Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2",12,"LONP1",239.4,339.4,275.2,299.1,335,299.9,238.5,323.6,411.6,215.3,202.3,263.4,163.7,234.3,299.4,211.9
"1142","O43169","Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3",10,"CYB5B",89.6,118.9,97.8,156.2,128.5,171.6,95.5,162.1,153.4,69.2,77.9,81,80.6,92.9,95.9,69.4
"1143","P02655","Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1",11,"APOC2",127.4,56.9,66.5,106.8,58.4,232.4,94.5,55.1,50.2,128.6,43.4,105.6,82,62.9,230.1,67.5
"1144","O75380","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS6 PE=1 SV=1",7,"NDUFS6",56.7,119.6,103.6,109.9,125.7,59.3,98,104.3,183.1,81,88.7,98.2,48.1,81.6,96.9,99.2
"1145","P35754","Glutaredoxin-1 OS=Homo sapiens OX=9606 GN=GLRX PE=1 SV=2",6,"GLRX",118.7,195.4,157.2,271.8,259.2,370.7,102.6,198.4,137.4,95.5,68.4,118.1,202.9,111.2,79.8,69.1
"1146","P61088","Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1",11,"UBE2N",216.4,277,236.6,382.2,400.3,623.1,188.8,466.7,244.8,156.7,129.7,176.5,200.5,205,211.7,137.6
"1147","Q00341","Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2",12,"HDLBP",68.2,104.9,80.3,108.8,136.2,82.7,86.9,102.8,91.2,55.2,59.5,87.4,61.8,80.3,97.6,46.7
"1148","Q9Y3I0","RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1",12,"RTCB",187.4,286.3,184.3,298.8,319.2,207.8,185.4,244.7,251.7,143.5,130.6,195.9,120.1,221.1,232.1,153.6
"1149","Q6IAA8","Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=2",5,"LAMTOR1",30.4,41.5,23.7,36.4,37.7,43.8,30.5,36.9,32.7,18.9,22.1,26.7,19.5,29.5,31.2,28.1
"1150","Q03154","Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1",11,"ACY1",160.8,322.2,256.1,254,260.1,251.7,173.7,255.3,360.8,147.1,141.3,188.1,135.6,203.5,240.5,169.3
"1151","Q15599","Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens OX=9606 GN=SLC9A3R2 PE=1 SV=2",13,"SLC9A3R2",44.1,89,46.3,45.1,56.2,52,44.7,52.5,68.6,41.6,36.1,39.8,26.4,52.5,44.4,39.2
"1152","P98172","Ephrin-B1 OS=Homo sapiens OX=9606 GN=EFNB1 PE=1 SV=1",11,"EFNB1",150.2,288.8,189.5,204.6,226.6,217.2,160.4,179.3,246.1,168.8,153.7,201.2,110,209.3,230.3,175.9
"1153","P63000","Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1",16,"RAC1",161.6,252.9,204,263,281.9,291.1,177.7,224.9,208.3,137.9,120.1,211.6,137.2,181.7,246.3,173.8
"1154","P30050","60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1",14,"RPL12",422.6,680.3,448.8,495.6,646.1,512.8,465.2,713.2,618.1,334.6,368.5,446.2,287.6,505.5,542.5,414.8
"1155","P50135","Histamine N-methyltransferase OS=Homo sapiens OX=9606 GN=HNMT PE=1 SV=1",13,"HNMT",443,598.1,565.8,502.3,489.9,363.1,359.8,744.5,452.2,311,286.3,382.3,208.5,435,562.1,335.6
"1156","Q96CW1","AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2",14,"AP2M1",154.2,201.7,188.9,293.3,298.8,294.7,147.9,218.3,173.6,124.6,80.3,155.7,129.2,155.6,167.2,118.5
"1157","P15104","Glutamine synthetase OS=Homo sapiens OX=9606 GN=GLUL PE=1 SV=4",14,"GLUL",273.3,544.3,453.1,299.6,268.9,193.9,244.3,239.2,1435.2,313.4,369.9,346.8,108.5,206,757.6,341
"1158","O75223","Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1",12,"GGCT",226.3,275.1,234.5,388.3,376.3,544.3,163.8,380.1,295.8,144.4,139.8,186.1,170.4,192.5,228.4,147.1
"1160","P30085","UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3",7,"CMPK1",57.9,43.4,49.4,62.5,65.7,60.2,33.6,58.3,51.8,37.4,26.8,45.5,37.8,41.7,55.4,31.7
"1161","Q5JSL3","Dedicator of cytokinesis protein 11 OS=Homo sapiens OX=9606 GN=DOCK11 PE=1 SV=2",12,"DOCK11",118.8,167.7,136.2,165,210.8,207.5,98.1,166.5,117.8,106.6,83.6,111.6,106.9,102.7,152.6,108.9
"1162","Q641Q2","WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3",7,"WASHC2A",39.8,47,39,59.8,59.9,60.7,34.7,51.6,47.8,25.5,18,33.8,26.4,31.6,36,30
"1163","P26373","60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4",11,"RPL13",136.8,197.3,113.8,145.5,141.3,157.6,141.5,209.8,144.6,138.7,93.6,173.9,51.9,121,133.9,123
"1164","O60493","Sorting nexin-3 OS=Homo sapiens OX=9606 GN=SNX3 PE=1 SV=3",15,"SNX3",475.1,565,497.9,591.9,691.1,487.2,475,530.4,567.3,366,319.5,480.8,316.1,457.5,544.1,365.8
"1165","P61970","Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1",9,"NUTF2",331.7,430,393.3,672.5,634.1,1102.4,249.6,836.9,377.4,192.7,198.9,242.8,360.4,280.9,295.7,200.9
"1166","Q16666","Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3",8,"IFI16",91.4,128,69.9,120,166.6,162.4,97.6,188.4,108.1,75.7,59.9,79.6,76.9,116.8,109.1,79.2
"1167","O76024","Wolframin OS=Homo sapiens OX=9606 GN=WFS1 PE=1 SV=2",13,"WFS1",107.3,114.4,85.5,120.7,144.2,76.6,97.1,121.7,107.9,75.8,56.2,106.9,55.2,81,124.7,76
"1168","Q9NRX4","14 kDa phosphohistidine phosphatase OS=Homo sapiens OX=9606 GN=PHPT1 PE=1 SV=1",16,"PHPT1",487.2,656.3,640.7,771.9,714.8,932.2,406.9,712.1,655.9,345,429.1,504.8,379,469.8,557.8,331.8
"1169","Q9Y4W6","AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2",12,"AFG3L2",129.5,211.4,151.4,204.4,226.1,174.9,133.8,209.5,246.5,116.1,128.6,149.4,89.3,171.9,149.6,116
"1170","Q9UNH7","Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1",15,"SNX6",164.3,212.3,154.3,227.9,244.7,203,165.7,207.7,218.7,126.2,95.4,181.2,121.5,158.7,198,129.9
"1171","Q3KQU3","MAP7 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAP7D1 PE=1 SV=1",11,"MAP7D1",98.3,126.6,112.5,176.6,180.5,172.8,108.6,160.1,132.9,57.5,69.4,89.1,81.2,104.8,123.1,62.1
"1172","P50402","Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1",10,"EMD",174.9,149.6,107.1,94.2,121.5,146.5,131.8,90.7,128,146.1,108.3,171.2,80.4,141.9,211,171
"1173","P27361","Mitogen-activated protein kinase 3 OS=Homo sapiens OX=9606 GN=MAPK3 PE=1 SV=4",13,"MAPK3",48.4,69.2,58.8,61.5,67.2,46.7,41.7,56.4,56.2,32.3,35.8,36.1,33.8,50.2,47.2,34.8
"1174","P26368","Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4",7,"U2AF2",99.2,146.9,95.2,115.3,132,166,105.3,138.2,102.5,83.2,69.5,92.3,68.2,121.9,126.2,91.6
"1175","Q92878","DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1",10,"RAD50",87.6,120.3,87.9,116.2,134.4,111.6,75.5,114.9,92.2,71.4,62.5,79.8,61.1,91.9,86.7,70.7
"1176","P20340","Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3",9,"RAB6A",55.6,78.2,51.7,77.3,103.1,130.9,51,137.4,32.8,36.5,17,44,59.9,43.9,60.3,28.7
"1177","Q6UXV4","MICOS complex subunit MIC27 OS=Homo sapiens OX=9606 GN=APOOL PE=1 SV=1",9,"APOOL",83.5,117,99.4,111.7,102.2,88.1,106.1,117.4,143.5,73.2,81.3,90.4,61,97.2,112.1,61.9
"1178","P10599","Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3",21,"TXN",683.6,751.3,756.1,1228,1441.5,2064.8,574.9,1550.7,640.5,489.5,392.1,664.6,687.5,702.7,753.1,502.4
"1179","Q86WU2","Probable D-lactate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=LDHD PE=1 SV=1",11,"LDHD",82.5,246.7,176.7,158.3,153.1,309,110.8,169.1,283.2,88.2,112.2,97.9,91,116.4,94.9,102.8
"1180","P22352","Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2",18,"GPX3",139.1,161.6,233.1,229.8,439.1,259.5,194.1,304.9,252.8,157.9,124.9,212.8,141.3,218,175.3,177.2
"1181","P02743","Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2",11,"APCS",52.8,57.8,52.9,99,92.6,240.7,25.6,132.9,43.4,48.4,22.2,31.4,78,39.8,68.8,24.1
"1182","Q15165","Serum paraoxonase/arylesterase 2 OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=4",5,"PON2",28.3,47.9,38.6,38.5,61.6,41.7,36.3,36.8,39,32.4,21.1,20.5,13.9,37.7,39.3,43.4
"1183","O43181","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS4 PE=1 SV=1",11,"NDUFS4",85.3,146.6,144.1,133.9,157,78.2,103.7,104.2,185.9,106.7,95.8,109.5,68.2,81.1,102.8,79.2
"1184","Q9Y600","Cysteine sulfinic acid decarboxylase OS=Homo sapiens OX=9606 GN=CSAD PE=1 SV=2",11,"CSAD",50.4,109,83.6,89.1,79.6,70.5,62.5,57.8,101.2,56.5,60.3,66.3,35.7,59.1,62.3,49.8
"1185","P02775","Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3",16,"PPBP",157.2,146.5,112.2,240.4,449,858.5,135.1,680,179.6,173.5,65.5,101.7,192.8,94.4,118.6,49.5
"1186","Q8NBX0","Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens OX=9606 GN=SCCPDH PE=1 SV=1",10,"SCCPDH",243,319.2,198.3,207.4,247.8,146.3,221.6,189.1,189.9,173.7,160.7,178.7,85.5,169.9,294,176.5
"1187","Q04323","UBX domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=2",9,"UBXN1",89.4,114.4,77.3,109.9,118.7,114,75.7,173.4,84.5,59.6,54.2,89.6,62.9,80.4,96.9,66.4
"1188","Q9Y266","Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1",11,"NUDC",130.6,176.5,141.1,218.9,223,170.4,125.9,241.3,180.9,89.9,88,119.4,90.2,121.2,124.1,87.9
"1189","Q13492","Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2",9,"PICALM",118.4,171.5,153.4,198.1,223.1,216.4,156.6,174.5,197.9,102,100.6,123.9,112.3,144,141.5,99.5
"1190","P22033","Methylmalonyl-CoA mutase, mitochondrial OS=Homo sapiens OX=9606 GN=MMUT PE=1 SV=4",12,"MMUT",39.4,130,69,100.2,100.1,66.7,42.8,78.6,124.8,55.5,52.8,76.8,42.4,75.6,73.6,53.9
"1191","O75531","Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1",13,"BANF1",146.7,190.8,165.1,170.4,208.2,169.3,154.8,193.9,110.1,125.5,104.7,137.8,144.7,196.7,224.2,164.5
"1192","Q68CZ2","Tensin-3 OS=Homo sapiens OX=9606 GN=TNS3 PE=1 SV=2",12,"TNS3",49.8,65.5,37.2,50.3,80.6,36.9,38.6,48.5,49.5,30.6,27.4,55.7,32.7,43.4,51.7,32.3
"1193","P01780","Immunoglobulin heavy variable 3-7 OS=Homo sapiens OX=9606 GN=IGHV3-7 PE=1 SV=2",13,"IGHV3-7",257.2,352.5,395.2,838.2,576.2,608.2,188.1,436.2,255.8,268.5,184.4,195.2,193.4,142.3,213.1,159
"1194","Q9UBV2","Protein sel-1 homolog 1 OS=Homo sapiens OX=9606 GN=SEL1L PE=1 SV=3",11,"SEL1L",29.1,43,42,55.7,46.5,43.5,30.7,41.4,33.8,21.2,21.2,27.6,13.1,38.9,39.6,23.3
"1195","P23786","Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=CPT2 PE=1 SV=2",9,"CPT2",27.6,60.6,43.9,44.3,59.6,37.7,34.3,40.2,42.4,30.5,26.6,30.9,21.1,33.2,33.8,33.9
"1196","O60749","Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2",9,"SNX2",137.7,165,124.1,167.8,206.3,143,120.1,148.4,159.7,100.1,86.1,135.2,77.8,130.4,157.8,119
"1197","Q96AB3","Isochorismatase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ISOC2 PE=1 SV=1",5,"ISOC2",28.9,52.2,46.1,42.2,51.4,15.5,33.1,25.2,79.4,33.7,43.2,31.8,19.9,29.2,40.4,27.4
"1198","P24539","ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2",13,"ATP5PB",446.1,662.2,522.9,544.3,781.6,474.8,444.2,585,645.1,370.8,410.5,492.2,256.2,459.4,491.9,377.2
"1199","Q9BPX5","Actin-related protein 2/3 complex subunit 5-like protein OS=Homo sapiens OX=9606 GN=ARPC5L PE=1 SV=1",6,"ARPC5L",103.8,128.1,84.5,139.5,134.4,126.3,92.3,113.3,116.9,77.9,50.6,93.4,59.3,98.6,107.7,60.9
"1201","P12259","Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4",10,"F5",22.4,13,19.9,24.7,45.6,58.4,13.7,95.6,18.6,11.8,5,13,13.1,10.5,16.5,7.9
"1202","Q9UNS2","COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3",10,"COPS3",61.9,78.2,74.5,92.6,93.3,107.7,61.2,93,74.8,53.2,56.3,61.4,45.9,69,73.1,44.9
"1203","Q687X5","Metalloreductase STEAP4 OS=Homo sapiens OX=9606 GN=STEAP4 PE=1 SV=1",8,"STEAP4",204.6,214.4,158.2,231,228.4,267.2,178.3,266.8,235.4,143.5,113.6,211.3,142.4,199.8,246.4,163.1
"1204","Q9Y5M8","Signal recognition particle receptor subunit beta OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=3",5,"SRPRB",93.8,131.5,78,128.8,122.7,228.7,92,209.1,114.9,72.7,63.7,86.6,80.3,91.4,102.4,59.2
"1205","Q13370","cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B OS=Homo sapiens OX=9606 GN=PDE3B PE=1 SV=2",9,"PDE3B",121.3,186,156.5,200.2,226.2,182.5,179.3,206.1,181.6,99.5,91.9,118.1,103.4,176.5,169.1,128.1
"1206","O14618","Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1",11,"CCS",49.8,65.2,56.8,147.3,118.5,292.7,46.2,176.3,50.1,34,39.4,38.9,84.2,60.5,51.9,30.8
"1207","Q969X5","Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens OX=9606 GN=ERGIC1 PE=1 SV=1",11,"ERGIC1",224.2,282.8,229.7,302.8,333.6,225.3,207.8,286.3,254.4,190,131.8,220.8,144.5,192.1,236.8,182.5
"1208","Q9H299","SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1",10,"SH3BGRL3",28.9,32.7,34.8,30.4,62.3,91.7,18.4,70.1,27.9,19.7,17.6,29.9,29.2,28.9,30.6,16.4
"1209","Q14257","Reticulocalbin-2 OS=Homo sapiens OX=9606 GN=RCN2 PE=1 SV=1",10,"RCN2",113.4,122.2,94.8,131.5,110.4,146.5,101.2,95.8,93.3,99.3,71.8,129.5,56.8,91,131.1,94.1
"1210","Q13185","Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4",8,"CBX3",56.3,93.6,71,77.8,96.9,99.1,73.9,116.6,91.6,44.5,45.5,57.3,47,72.3,64.9,54.3
"1211","P59998","Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=1 SV=3",9,"ARPC4",76.3,98.5,70.6,82.4,123.9,85.4,84.7,167.4,90.2,55.4,44.3,67.6,46.3,75.4,77.9,63.9
"1212","P51649","Succinate-semialdehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH5A1 PE=1 SV=2",11,"ALDH5A1",69.3,167.3,105.7,139.9,97.9,76.6,89.1,89.8,127.4,76.3,78.8,98.3,42.2,113.6,96.1,72.5
"1213","Q96BJ3","Axin interactor, dorsalization-associated protein OS=Homo sapiens OX=9606 GN=AIDA PE=1 SV=1",7,"AIDA",54.3,90.3,60.3,90.1,102.7,76.7,58.3,88.5,71.4,55.6,44.9,61.4,41.5,62.6,64.1,41.1
"1215","Q15848","Adiponectin OS=Homo sapiens OX=9606 GN=ADIPOQ PE=1 SV=1",8,"ADIPOQ",77.4,148.3,130.7,101.5,162.7,122.4,122.7,120.8,79.7,92.6,74.1,86.8,77.3,169.2,112,105.3
"1217","Q92614","Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3",5,"MYO18A",16.2,20.6,15,23.5,18.8,25.3,17,24.3,13.6,17.3,9.8,8.5,10.6,15.7,18.5,9
"1218","Q92947","Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GCDH PE=1 SV=1",10,"GCDH",140.5,302.7,251.8,290,262.1,166.7,191.5,191.1,296.2,161.7,167.1,190,112.6,169.1,215.1,166.4
"1219","O00161","Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1",9,"SNAP23",139.6,168.9,121.3,149.9,226.5,292.8,140.6,249.3,200.6,94.7,114.4,126.4,112.6,129.5,136.8,112.9
"1220","P46439","Glutathione S-transferase Mu 5 OS=Homo sapiens OX=9606 GN=GSTM5 PE=1 SV=3",9,"GSTM5",183.4,164.5,252.2,493,47.1,55,28.8,55,68,26.9,16.9,184.2,140.9,34.7,73.6,150.8
"1221","Q96JJ7","Protein disulfide-isomerase TMX3 OS=Homo sapiens OX=9606 GN=TMX3 PE=1 SV=2",7,"TMX3",82,109.9,88.8,103.9,120.1,103.2,82.8,106,107.6,80.5,55.2,91.7,57.9,76.9,89.6,76.8
"1222","P43490","Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1",9,"NAMPT",191.1,210,190.4,194.2,276,255.3,113.6,271.2,204.1,142.9,126.1,146,118.1,172.3,207.2,185.2
"1223","P07858","Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3",5,"CTSB",47.5,47.7,55.4,76.8,103,43.3,42.5,38.5,39.8,40.1,18.5,35.8,38.4,38.9,49.7,34.9
"1224","P25789","Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1",9,"PSMA4",87.4,146.6,118.5,186,186.3,287,98.1,247.6,154.2,90.7,87.3,94.5,99.9,113.5,111.4,83.8
"1225","Q15631","Translin OS=Homo sapiens OX=9606 GN=TSN PE=1 SV=1",12,"TSN",241.1,369.9,365.2,530,504.3,668.8,243.4,562,283.2,202.8,170.9,249.5,257,321,296.3,227
"1226","Q9BY49","Peroxisomal trans-2-enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=PECR PE=1 SV=2",11,"PECR",144.5,340.1,260.1,224.6,221.4,143.9,142.5,188,396.2,157.8,172.5,129.8,111.4,166.3,132.5,151.7
"1227","P63151","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R2A PE=1 SV=1",11,"PPP2R2A",72.5,97.7,85.3,108.6,93.4,80.8,54.9,88.6,86.4,152.1,39.1,67.8,48.4,51.2,64.1,42
"1228","Q9HCB6","Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2",9,"SPON1",11.8,24.1,18.6,14.3,30.7,19.1,32.5,26.4,19.8,16.4,8.2,28.8,9.8,22.9,28.9,23.2
"1229","Q9P121","Neurotrimin OS=Homo sapiens OX=9606 GN=NTM PE=1 SV=1",8,"NTM",48.6,73.3,43.4,75.1,58.4,50,58.9,87,43.3,56.1,31,60.5,33.7,70.2,51.3,56.8
"1230","Q7L576","Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1",10,"CYFIP1",138.3,196.8,116,150.6,212.7,161.1,133.7,178.1,181.7,96.7,91.7,136,73.3,148.9,160,127.2
"1231","P09601","Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1",10,"HMOX1",156.2,111.6,80.1,156.7,213.8,190.3,121.2,171.8,115.9,59.4,49.5,95.7,97.1,124.1,115.4,55.8
"1232","Q6YHK3","CD109 antigen OS=Homo sapiens OX=9606 GN=CD109 PE=1 SV=2",8,"CD109",63,77.1,73.8,83.9,104.6,94.9,57.2,80.5,73.7,51.2,37.2,53.9,45.3,64.8,74.9,47.6
"1234","Q9H993","Damage-control phosphatase ARMT1 OS=Homo sapiens OX=9606 GN=ARMT1 PE=1 SV=1",7,"ARMT1",34.6,60.7,62.4,67,59.6,51,22.7,36.4,55.5,30.5,18.5,28.3,18.7,37.4,35,21.4
"1235","Q96DG6","Carboxymethylenebutenolidase homolog OS=Homo sapiens OX=9606 GN=CMBL PE=1 SV=1",12,"CMBL",238.3,323.6,297.6,585.4,456.3,777.5,201,562.5,295.8,203.9,128.8,216.4,247.1,199.5,300.5,168.4
"1236","P24298","Alanine aminotransferase 1 OS=Homo sapiens OX=9606 GN=GPT PE=1 SV=3",6,"GPT",48.8,177.7,104,71.7,68.8,71.4,61.8,66.6,95.1,41.1,35.6,31.2,33.4,49.9,89.6,54
"1237","O94826","Mitochondrial import receptor subunit TOM70 OS=Homo sapiens OX=9606 GN=TOMM70 PE=1 SV=1",14,"TOMM70",285.3,344.9,307.9,355.4,353,224.2,271.3,341.1,357.2,248.1,173.7,315.3,165.1,260.6,353.4,262.2
"1238","P05156","Complement factor I OS=Homo sapiens OX=9606 GN=CFI PE=1 SV=2",10,"CFI",206.1,200.2,241.1,391.2,428.2,334.3,165.7,341.1,188.2,200.4,97.5,150.3,158.7,176.6,220.9,106.3
"1239","O95433","Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1",6,"AHSA1",24.7,22.5,18.6,32.3,29.8,43.2,18.7,29.3,23.1,15.3,18.9,19.1,19,17.1,20.5,15.5
"1240","Q53SF7","Cordon-bleu protein-like 1 OS=Homo sapiens OX=9606 GN=COBLL1 PE=1 SV=3",8,"COBLL1",74.5,77.5,60.9,109.6,105.1,116.4,64.1,97.5,57.8,41.9,41.1,56.5,54.4,73.3,64.4,41.3
"1241","O43615","Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2",10,"TIMM44",179.3,264.6,215.2,279.6,369,261.2,192.6,665,272.9,167.7,146.4,175.8,164.7,212.5,194.4,152.8
"1242","P05160","Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3",9,"F13B",45.2,25.1,24.2,42.7,85.8,133.2,24.2,155,35.2,42.5,14.1,28.4,40.2,24.2,38.8,12.9
"1243","Q04837","Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1",8,"SSBP1",121.4,221.2,180,239.9,348.2,254.3,202.1,204.8,296.7,100.8,128.5,127,150.8,207.5,144.3,128
"1244","Q16881","Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3",11,"TXNRD1",64.4,68.6,69.3,88.6,91.8,129.8,36.1,88.8,61,40.3,36,58,47.6,52.2,52.3,37.3
"1245","P62942","Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=2",6,"FKBP1A",63.9,83,84,84.8,111.7,113.1,65.2,117.7,87.9,47.1,53.6,66,49.3,80.7,80.8,46.4
"1246","P09012","U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3",12,"SNRPA",66.8,114.1,62.5,79.5,117.2,99.9,84.3,86.4,86.7,60.6,50.6,70.1,60.8,70.7,83.1,56.7
"1247","P16104","Histone H2AX OS=Homo sapiens OX=9606 GN=H2AX PE=1 SV=2",18,"H2AX",104.7,159.1,120.8,130.4,145.5,163.9,104.6,126.2,57.2,92.3,88.9,121.3,75.7,131,135,114.7
